# Wavelength (nm), Rrs
400,-99
402,-99
404,-99
406,-99
408,-99
410,-99
412,-99
414,-99
416,-99
418,-99
420,-99
422,-99
424,-99
426,-99
428,-99
430,-99
432,-99
434,-99
436,-99
438,-99
440,-99
442,0.008064
444,-99
446,-99
448,-99
450,-99
452,-99
454,-99
456,-99
458,-99
460,-99
462,-99
464,-99
466,-99
468,-99
470,-99
472,-99
474,-99
476,-99
478,-99
480,-99
482,0.012979
484,-99
486,-99
488,-99
490,-99
492,-99
494,-99
496,-99
498,-99
500,-99
502,-99
504,-99
506,-99
508,-99
510,-99
512,-99
514,-99
516,-99
518,-99
520,-99
522,-99
524,-99
526,-99
528,-99
530,-99
532,-99
534,-99
536,-99
538,-99
540,-99
542,-99
544,-99
546,-99
548,-99
550,-99
552,-99
554,-99
556,-99
558,-99
560,-99
562,0.026339
564,-99
566,-99
568,-99
570,-99
572,-99
574,-99
576,-99
578,-99
580,-99
582,-99
584,-99
586,-99
588,-99
590,-99
592,-99
594,-99
596,-99
598,-99
600,-99
602,-99
604,-99
606,-99
608,-99
610,-99
612,-99
614,-99
616,-99
618,-99
620,-99
622,-99
624,-99
626,-99
628,-99
630,-99
632,-99
634,-99
636,-99
638,-99
640,-99
642,-99
644,-99
646,-99
648,-99
650,-99
652,-99
654,-99
656,0.030356
658,-99
660,-99
662,-99
664,-99
666,-99
668,-99
670,-99
672,-99
674,-99
676,-99
678,-99
680,-99
682,-99
684,-99
686,-99
688,-99
690,-99
692,-99
694,-99
696,-99
698,-99
700,-99
702,-99
704,-99
706,-99
708,-99
710,-99
712,-99
714,-99
716,-99
718,-99
720,-99
722,-99
724,-99
726,-99
728,-99
730,-99
732,-99
734,-99
736,-99
738,-99
740,-99
742,-99
744,-99
746,-99
748,-99
750,-99
752,-99
754,-99
756,-99
758,-99
760,-99
762,-99
764,-99
766,-99
768,-99
770,-99
772,-99
774,-99
776,-99
778,-99
780,-99
782,-99
784,-99
786,-99
788,-99
790,-99
792,-99
794,-99
796,-99
798,-99
800,-99
802,-99
804,-99
806,-99
808,-99
810,-99
812,-99
814,-99
816,-99
818,-99
820,-99
822,-99
824,-99
826,-99
828,-99
830,-99
832,-99
834,-99
836,-99
838,-99
840,-99
842,-99
844,-99
846,-99
848,-99
850,-99
852,-99
854,-99
856,-99
858,-99
860,-99
862,-99
864,-99
866,-99
868,-99
870,-99
872,-99
874,-99
876,-99
878,-99
880,-99
882,-99
884,-99
886,-99
888,-99
890,-99
892,-99
894,-99
896,-99
898,-99
900,-99
