	Unnamed: 0.1	Unnamed: 0	Run_ID	Chl	TSM	a_440_cdom	T	S	theta	phi	Chl_comp_1	Chl_comp_2	Bp	Bm	a_440_p	a_440_m	b_440_p	b_440_m	400	412.5	442.5	490	510	560	620	665	673.75	681.25	708.75	753.75	761.25	764.38	767.5	778.75	865	885	900	940	1020
23	23	23	20029	3.3	1.5	0.25	20	5	60	60	1	2	0.0069999999999999	0.012	0.049	0.092	0.7859999999999999	1.23	0.0013644	0.0016412	0.0025178	0.0049552	0.0055797	0.0065482	0.0021529	0.0012917999999999	0.001204	0.0011506	0.0006827	0.0001987	0.0002003	0.0002017	0.0002055	0.000222	8.79e-05	7.44e-05	6.73e-05	1.24e-05	1.3800000000000003e-05
25	25	25	20031	7.2	0.3	0.144	10	0	30	0	1	2	0.005	0.008	0.205	0.018	1.275	0.205	0.0009323	0.0009957	0.0011377	0.0017544	0.0018816	0.0022118	0.000799	0.000431	0.0003839	0.0003756	0.0002666	7.730000000000001e-05	7.59e-05	7.7e-05	7.659999999999999e-05	8.52e-05	3.72e-05	2.660000000000001e-05	1.84e-05	5.1e-06	5.2e-06
26	26	26	20033	1.2	1.3	0.298	30	20	30	30	1	2	0.009	0.024	0.095	0.08	0.42	0.5329999999999999	0.0014038	0.0014822	0.0017183	0.0024324	0.0026127	0.0031791	0.0015235	0.0009841	0.0009184	0.0008958999999999	0.0005612	0.0001681	0.0001699	0.000172	0.0001761999999999	0.0001915	7.329999999999999e-05	6.720000000000001e-05	5.770000000000001e-05	1.35e-05	1.23e-05
38	38	38	20049	4.0	0.04	0.198	25	10	40	45	1	5	0.006	0.001	0.144	0.003	0.8859999999999999	0.027	0.0008857	0.0008853999999999	0.0009092	0.0012002	0.0012265	0.0013168	0.0005323	0.00031	0.0002823	0.0002751	0.0001763	5.260000000000001e-05	4.9700000000000015e-05	5e-05	5.19e-05	5.479999999999999e-05	2.39e-05	2.01e-05	1.7100000000000002e-05	2.8e-06	3.4e-06
47	47	47	20065	0.15	0.08	0.136	25	5	10	15	1	2	0.014	0.001	0.031	0.005	0.116	0.066	0.000732	0.0007941	0.0009596	0.0013257999999999	0.0012220999999999	0.001002	0.0002501	0.0001434	0.0001341999999999	0.0001267	6.759999999999999e-05	1.88e-05	1.6800000000000002e-05	1.74e-05	2.26e-05	2.01e-05	9.3e-06	5.1e-06	6e-06	2.9e-06	1.4e-06
51	51	51	20069	0.86	0.6	0.136	5	10	30	15	1	4	0.009	0.01	0.051	0.037	0.342	0.4920000000000001	0.0013824	0.0015227	0.0019315	0.003056	0.0031253	0.0030677	0.0009066	0.0005292	0.0004883	0.0004635	0.0002816	8.290000000000001e-05	8.14e-05	8.25e-05	8.290000000000001e-05	8.65e-05	3.2e-05	3.1e-05	2.060000000000001e-05	6e-06	4.3e-06
53	53	53	20073	0.53	0.02	0.8	5	25	20	60	1	2	0.01	0.001	0.032	0.001	0.253	0.019	0.0001838	0.0002059	0.0002718	0.0004017	0.0004496	0.0005684	0.0003083	0.0001894	0.0001785	0.0001681	0.0001002	2.88e-05	2.52e-05	2.63e-05	2.72e-05	2.87e-05	1.24e-05	8.8e-06	7.699999999999999e-06	3.4e-06	1.7e-06
58	58	58	20082	6.8	0.2	0.102	5	25	50	15	1	4	0.005	0.002	0.253	0.012	1.231	0.191	0.0009935	0.0009974	0.0010212	0.0015382999999999	0.0016459	0.0020481	0.0006355	0.0003476	0.0003033	0.0002984	0.0002234	6.27e-05	6.159999999999999e-05	6.19e-05	6.22e-05	6.78e-05	2.37e-05	2.27e-05	2e-05	6.5e-06	3.4e-06
59	59	59	20083	2.7	1.5	0.146	30	15	10	0	1	5	0.0069999999999999	0.026	0.133	0.092	0.6940000000000001	0.615	0.0019501	0.002163	0.0027341	0.0044973	0.0048044	0.0054811	0.0021026	0.0012562	0.0011584	0.0011309	0.0007152	0.0002092	0.0002128	0.0002132	0.0002158	0.0002415	9.83e-05	8.420000000000001e-05	7.32e-05	1.6100000000000002e-05	1.47e-05
61	61	61	20085	3.6	1.0	0.176	0	15	70	60	1	5	0.006	0.012	0.12	0.061	0.83	0.82	0.0013151	0.001518	0.0020702	0.0036664	0.0040114	0.0043699	0.0015913	0.0008925	0.0008087999999999	0.0007795	0.000516	0.0001541	0.0001472	0.000147	0.0001489	0.0001561	6.3e-05	5.260000000000001e-05	4.58e-05	1.23e-05	9.9e-06
